05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-0              0.11     0.53    1.66    0.65   130.86     9.07    60.49     0.00    0.67   0.43   0.10
dm-3              0.00     0.00    0.61    0.00    26.00     0.00    42.93     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.65    1.19   100.78     9.07    59.74     0.00    1.42   0.48   0.09
dm-5              0.00     0.00    3.90    0.08    31.20     0.66     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.05    0.00     0.39     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.04    0.01     0.15     0.03     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.05    0.95     0.54     7.63     8.10     0.00    1.83   0.49   0.05
dm-9              0.00     0.00    0.39    0.22    98.71     1.41   163.84     0.00    1.19   0.59   0.04
dm-1              0.00     0.00    0.08    0.00     0.67     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.08    0.00     0.67     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 08:45:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.20    0.65   134.19     9.04    50.18     0.00    0.49   0.31   0.09
dm-0              0.10     0.53    1.62    0.65   129.45     9.04    61.00     0.00    0.68   0.44   0.10
dm-3              0.00     0.00    0.58    0.00    24.88     0.00    42.73     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.64    1.18   100.59     9.04    60.08     0.00    1.43   0.48   0.09
dm-5              0.00     0.00    3.73    0.08    29.85     0.64     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.05    0.00     0.37     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.04    0.01     0.14     0.03     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.05    0.95     0.52     7.61     8.10     0.00    1.83   0.50   0.05
dm-9              0.00     0.00    0.39    0.22    98.58     1.41   164.26     0.00    1.19   0.59   0.04
dm-1              0.00     0.00    0.08    0.00     0.67     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.08    0.00     0.67     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 08:50:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.15    0.65   133.10     9.05    50.64     0.00    0.49   0.31   0.09
dm-0              0.10     0.53    1.58    0.65   128.44     9.05    61.57     0.00    0.69   0.44   0.10
dm-3              0.00     0.00    0.56    0.00    23.86     0.00    42.53     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.63    1.18   100.70     9.05    60.42     0.00    1.44   0.48   0.09
dm-5              0.00     0.00    3.58    0.08    28.61     0.63     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.04    0.00     0.36     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.04    0.01     0.14     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.05    0.95     0.50     7.61     8.10     0.00    1.85   0.50   0.05
dm-9              0.00     0.00    0.39    0.22    98.75     1.41   164.86     0.00    1.19   0.59   0.04
dm-1              0.00     0.00    0.08    0.00     0.66     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.08    0.00     0.66     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 08:55:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.11    0.65   132.09     9.02    51.12     0.00    0.50   0.31   0.09
dm-0              0.10     0.53    1.55    0.65   127.51     9.02    62.18     0.00    0.70   0.45   0.10
dm-3              0.00     0.00    0.54    0.00    22.91     0.00    42.34     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.63    1.18   100.81     9.02    60.85     0.00    1.45   0.48   0.09
dm-5              0.00     0.00    3.43    0.08    27.47     0.61     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.04    0.00     0.34     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.04    0.01     0.13     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.05    0.95     0.48     7.59     8.09     0.00    1.86   0.50   0.05
dm-9              0.00     0.00    0.39    0.22    98.90     1.41   165.56     0.00    1.19   0.58   0.04
dm-1              0.00     0.00    0.08    0.00     0.66     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.08    0.00     0.66     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 09:00:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.07    0.65   130.90     9.01    51.46     0.00    0.50   0.32   0.09
dm-0              0.09     0.53    1.51    0.65   126.39     9.01    62.62     0.00    0.70   0.46   0.10
dm-3              0.00     0.00    0.52    0.00    22.04     0.00    42.14     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.62    1.18   100.64     9.01    61.08     0.00    1.46   0.48   0.09
dm-5              0.00     0.00    3.30    0.07    26.42     0.59     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.04    0.00     0.33     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.04    0.01     0.13     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.05    0.95     0.46     7.58     8.09     0.00    1.87   0.51   0.05
dm-9              0.00     0.00    0.39    0.22    98.78     1.41   165.88     0.00    1.19   0.58   0.03
dm-1              0.00     0.00    0.08    0.00     0.65     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.08    0.00     0.65     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 09:05:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.03    0.65   130.05     9.00    51.87     0.00    0.51   0.32   0.09
dm-0              0.09     0.53    1.48    0.65   125.60     9.00    63.13     0.00    0.71   0.46   0.10
dm-3              0.00     0.00    0.51    0.00    21.23     0.00    41.95     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.61    1.18   100.74     9.00    61.41     0.00    1.46   0.48   0.09
