05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-3              0.00     0.00    0.22    0.00     7.50     0.00    34.23     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   32.57   36.35  2612.85  1493.84    59.59     0.03    0.38   0.25   1.72
dm-5              0.00     0.00    1.13    0.05     9.04     0.37     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.11     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.15     2.93    17.17     9.24     0.01    2.50   0.26   0.06
dm-9              0.00     0.00   32.42   34.20  2608.99  1476.65    61.33     0.02    0.31   0.25   1.68
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 01:25:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   33.69   32.60  2659.92  1569.90    63.81     0.02    0.29   0.26   1.74
dm-0              0.03     4.98   33.27   32.60  2656.57  1569.90    64.16     0.02    0.30   0.28   1.82
dm-3              0.00     0.00    0.22    0.00     7.40     0.00    34.11     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   32.80   37.58  2646.88  1569.90    59.92     0.03    0.38   0.25   1.77
dm-5              0.00     0.00    1.12    0.05     8.92     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.11     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.16     2.89    17.28     9.22     0.01    2.50   0.26   0.06
dm-9              0.00     0.00   32.66   35.41  2643.07  1552.61    61.64     0.02    0.31   0.25   1.73
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 01:30:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   33.44   32.66  2644.36  1572.27    63.80     0.02    0.29   0.26   1.74
dm-0              0.03     5.00   33.02   32.66  2641.02  1572.27    64.14     0.02    0.30   0.28   1.82
dm-3              0.00     0.00    0.22    0.00     7.31     0.00    33.98     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   32.55   37.66  2631.43  1572.27    59.87     0.03    0.38   0.25   1.77
dm-5              0.00     0.00    1.10    0.05     8.81     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.11     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.18     2.85    17.45     9.19     0.01    2.50   0.26   0.06
dm-9              0.00     0.00   32.41   35.48  2627.65  1554.81    61.61     0.02    0.31   0.25   1.73
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 01:35:03 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   33.10   32.50  2620.13  1564.00    63.79     0.02    0.29   0.26   1.73
dm-0              0.03     5.01   32.69   32.50  2616.80  1564.00    64.14     0.02    0.30   0.28   1.81
dm-3              0.00     0.00    0.21    0.00     7.23     0.00    33.86     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   32.22   37.51  2607.31  1564.00    59.82     0.03    0.38   0.25   1.76
dm-5              0.00     0.00    1.09    0.05     8.70     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.11     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.19     2.82    17.56     9.17     0.01    2.50   0.26   0.06
dm-9              0.00     0.00   32.08   35.31  2603.57  1546.43    61.58     0.02    0.31   0.25   1.72
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 01:40:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   32.84   32.44  2601.17  1560.49    63.76     0.02    0.29   0.27   1.73
dm-0              0.03     5.04   32.43   32.44  2597.84  1560.49    64.11     0.02    0.30   0.28   1.80
dm-3              0.00     0.00    0.21    0.00     7.14     0.00    33.74     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   31.96   37.48  2588.44  1560.49    59.75     0.03    0.38   0.25   1.76
dm-5              0.00     0.00    1.07    0.04     8.60     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.21     2.78    17.67     9.15     0.01    2.51   0.26   0.06
dm-9              0.00     0.00   31.82   35.26  2584.75  1542.82    61.53     0.02    0.31   0.26   1.71
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 01:45:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   32.53   32.27  2577.94  1549.99    63.71     0.02    0.29   0.27   1.72
dm-0              0.03     5.05   32.12   32.27  2574.62  1549.99    64.06     0.02    0.30   0.28   1.79
dm-3              0.00     0.00    0.21    0.00     7.06     0.00    33.62     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   31.66   37.32  2565.31  1549.99    59.66     0.03    0.38   0.25   1.75
dm-5              0.00     0.00    1.06    0.04     8.50     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.22     2.75    17.76     9.13     0.01    2.52   0.26   0.06
dm-9              0.00     0.00   31.52   35.09  2561.65  1532.22    61.46     0.02    0.31   0.26   1.70
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 01:50:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   32.21   32.08  2555.71  1539.93    63.71     0.02    0.29   0.27   1.71
dm-0              0.03     5.05   31.81   32.08  2552.39  1539.93    64.06     0.02    0.31   0.28   1.78
dm-3              0.00     0.00    0.21    0.00     6.97     0.00    33.50     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   31.35   37.13  2543.17  1539.93    59.63     0.03    0.39   0.25   1.74
dm-5              0.00     0.00    1.05    0.04     8.39     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.23     2.72    17.87     9.11     0.01    2.53   0.26   0.06
dm-9              0.00     0.00   31.21   34.89  2539.55  1522.05    61.45     0.02    0.32   0.26   1.69
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 01:55:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   31.97   31.89  2542.39  1530.16    63.77     0.02    0.29   0.27   1.70
dm-0              0.03     5.06   31.57   31.89  2539.08  1530.16    64.13     0.02    0.31   0.28   1.77
dm-3              0.00     0.00    0.21    0.00     6.89     0.00    33.39     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   31.11   36.95  2529.95  1530.16    59.66     0.03    0.39   0.25   1.73
dm-5              0.00     0.00    1.04    0.04     8.30     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.25     2.69    17.97     9.09     0.01    2.53   0.25   0.06
dm-9              0.00     0.00   30.97   34.70  2526.36  1512.18    61.50     0.02    0.32   0.26   1.68
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:00:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   31.70   31.70  2524.74  1520.34    63.80     0.02    0.29   0.27   1.69
dm-0              0.03     5.06   31.30   31.70  2521.43  1520.34    64.15     0.02    0.31   0.28   1.76
dm-3              0.00     0.00    0.20    0.00     6.82     0.00    33.27     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   30.84   36.77  2512.39  1520.34    59.65     0.03    0.39   0.25   1.72
dm-5              0.00     0.00    1.02    0.04     8.20     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.26     2.65    18.06     9.07     0.01    2.53   0.25   0.06
dm-9              0.00     0.00   30.70   34.50  2508.83  1502.27    61.51     0.02    0.32   0.26   1.67
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:05:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   31.41   31.54  2504.26  1512.60    63.81     0.02    0.29   0.27   1.68
dm-0              0.03     5.07   31.01   31.54  2500.97  1512.60    64.17     0.02    0.31   0.28   1.75
dm-3              0.00     0.00    0.20    0.00     6.74     0.00    33.15     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   30.55   36.60  2492.01  1512.60    59.63     0.03    0.39   0.25   1.71
dm-5              0.00     0.00    1.01    0.04     8.10     0.36     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.27     2.62    18.15     9.06     0.01    2.54   0.25   0.06
dm-9              0.00     0.00   30.42   34.33  2488.48  1494.44    61.51     0.02    0.32   0.26   1.67
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:10:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   31.12   31.36  2483.39  1501.94    63.78     0.02    0.29   0.27   1.67
dm-0              0.03     5.07   30.72   31.36  2480.10  1501.94    64.14     0.02    0.31   0.28   1.74
dm-3              0.00     0.00    0.20    0.00     6.66     0.00    33.04     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   30.26   36.43  2471.22  1501.94    59.57     0.03    0.39   0.25   1.70
dm-5              0.00     0.00    1.00    0.04     8.01     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    2.28     2.59    18.25     9.04     0.01    2.54   0.25   0.06
dm-9              0.00     0.00   30.13   34.15  2467.73  1483.68    61.47     0.02    0.32   0.26   1.66
dm-1              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.10   0.10   0.00
dm-2              0.00     0.00    0.07    0.00     0.57     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:15:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   30.82   31.19  2460.80  1491.74    63.75     0.02    0.29   0.27   1.66
dm-0              0.03     5.07   30.41   31.19  2457.51  1491.74    64.11     0.02    0.31   0.28   1.73
dm-3              0.00     0.00    0.20    0.00     6.59     0.00    32.92     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   29.96   36.26  2448.71  1491.74    59.50     0.03    0.39   0.26   1.69
dm-5              0.00     0.00    0.99    0.04     7.92     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.29     2.56    18.33     9.02     0.01    2.54   0.25   0.06
dm-9              0.00     0.00   29.83   33.96  2445.25  1473.40    61.43     0.02    0.32   0.26   1.65
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:20:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   30.52   31.02  2437.99  1482.69    63.71     0.02    0.29   0.27   1.65
dm-0              0.03     5.08   30.11   31.02  2434.71  1482.69    64.08     0.02    0.31   0.28   1.72
dm-3              0.00     0.00    0.20    0.00     6.52     0.00    32.81     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   29.66   36.10  2425.99  1482.69    59.44     0.03    0.40   0.26   1.68
dm-5              0.00     0.00    0.98    0.04     7.84     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.10     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.30     2.54    18.42     9.01     0.01    2.54   0.25   0.06
dm-9              0.00     0.00   29.53   33.79  2422.56  1464.27    61.38     0.02    0.32   0.26   1.64
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:25:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   30.24   30.84  2418.19  1473.13    63.71     0.02    0.29   0.27   1.64
dm-0              0.03     5.08   29.84   30.84  2414.91  1473.13    64.08     0.02    0.31   0.28   1.71
dm-3              0.00     0.00    0.20    0.00     6.45     0.00    32.70     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   29.39   35.91  2406.27  1473.13    59.40     0.03    0.40   0.26   1.67
dm-5              0.00     0.00    0.97    0.04     7.75     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.31     2.51    18.50     8.99     0.01    2.56   0.25   0.06
dm-9              0.00     0.00   29.26   33.60  2402.87  1454.63    61.37     0.02    0.32   0.26   1.63
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.10   0.10   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:30:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   29.96   30.65  2397.26  1463.71    63.71     0.02    0.29   0.27   1.63
dm-0              0.03     5.08   29.56   30.65  2393.99  1463.71    64.08     0.02    0.31   0.28   1.70
dm-3              0.00     0.00    0.20    0.00     6.38     0.00    32.58     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   29.11   35.73  2385.42  1463.71    59.36     0.03    0.40   0.26   1.66
dm-5              0.00     0.00    0.96    0.04     7.67     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.33     2.48    18.64     8.97     0.01    2.57   0.25   0.06
dm-9              0.00     0.00   28.98   33.40  2382.05  1445.07    61.35     0.02    0.32   0.26   1.62
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.10   0.10   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:35:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   29.68   30.45  2376.16  1453.63    63.70     0.02    0.29   0.27   1.62
dm-0              0.03     5.08   29.28   30.45  2372.90  1453.63    64.07     0.02    0.31   0.28   1.69
dm-3              0.00     0.00    0.19    0.00     6.32     0.00    32.47     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   28.83   35.53  2364.40  1453.63    59.32     0.03    0.40   0.26   1.65
dm-5              0.00     0.00    0.95    0.04     7.58     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.34     2.45    18.72     8.96     0.01    2.58   0.25   0.06
dm-9              0.00     0.00   28.70   33.19  2361.06  1434.91    61.33     0.02    0.32   0.26   1.61
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:40:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   29.42   30.26  2357.24  1443.40    63.68     0.02    0.30   0.27   1.61
dm-0              0.03     5.08   29.01   30.26  2353.98  1443.40    64.06     0.02    0.31   0.28   1.68
dm-3              0.00     0.00    0.19    0.00     6.25     0.00    32.36     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   28.58   35.35  2345.55  1443.40    59.27     0.03    0.40   0.26   1.64
dm-5              0.00     0.00    0.94    0.04     7.50     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.35     2.43    18.80     8.94     0.01    2.58   0.25   0.06
dm-9              0.00     0.00   28.44   32.99  2342.24  1424.59    61.31     0.02    0.32   0.26   1.60
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:45:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   29.14   30.09  2336.90  1433.70    63.66     0.02    0.30   0.27   1.60
dm-0              0.03     5.08   28.74   30.09  2333.64  1433.70    64.04     0.02    0.31   0.28   1.67
dm-3              0.00     0.00    0.19    0.00     6.19     0.00    32.25     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   28.31   35.17  2325.28  1433.70    59.22     0.03    0.41   0.26   1.63
dm-5              0.00     0.00    0.93    0.04     7.42     0.35     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.36     2.40    18.87     8.93     0.01    2.58   0.25   0.06
dm-9              0.00     0.00   28.17   32.81  2322.00  1414.83    61.28     0.02    0.32   0.26   1.59
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:50:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   28.86   29.87  2314.94  1420.90    63.61     0.02    0.30   0.27   1.59
dm-0              0.03     5.08   28.46   29.87  2311.69  1420.90    63.99     0.02    0.31   0.28   1.66
dm-3              0.00     0.00    0.19    0.00     6.12     0.00    32.14     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   28.03   34.95  2303.40  1420.90    59.14     0.03    0.41   0.26   1.62
dm-5              0.00     0.00    0.92    0.04     7.35     0.34     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.04     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.37     2.38    18.95     8.92     0.01    2.58   0.25   0.06
dm-9              0.00     0.00   27.90   32.58  2300.14  1401.94    61.22     0.02    0.32   0.26   1.57
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 02:55:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   28.60   29.70  2295.33  1412.03    63.59     0.02    0.30   0.27   1.58
dm-0              0.02     5.08   28.20   29.70  2292.08  1412.03    63.97     0.02    0.31   0.29   1.65
dm-3              0.00     0.00    0.19    0.00     6.06     0.00    32.04     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   27.77   34.78  2283.86  1412.05    59.09     0.03    0.41   0.26   1.61
dm-5              0.00     0.00    0.91    0.04     7.27     0.34     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.38     2.35    19.03     8.90     0.01    2.59   0.25   0.06
dm-9              0.00     0.00   27.64   32.40  2280.63  1393.02    61.19     0.02    0.33   0.26   1.56
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:00:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   28.34   29.51  2274.87  1401.27    63.55     0.02    0.30   0.27   1.57
dm-0              0.02     5.08   27.94   29.51  2271.63  1401.27    63.93     0.02    0.31   0.29   1.64
dm-3              0.00     0.00    0.19    0.00     6.00     0.00    31.93     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   27.51   34.59  2263.48  1401.27    59.02     0.03    0.41   0.26   1.60
dm-5              0.00     0.00    0.90    0.04     7.20     0.34     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.39     2.33    19.10     8.89     0.01    2.60   0.25   0.06
dm-9              0.00     0.00   27.37   32.20  2260.27  1382.17    61.14     0.02    0.33   0.26   1.55
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:05:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   28.09   29.36  2255.95  1393.80    63.53     0.02    0.30   0.27   1.57
dm-0              0.02     5.08   27.69   29.36  2252.71  1393.80    63.92     0.02    0.31   0.29   1.63
dm-3              0.00     0.00    0.19    0.00     5.94     0.00    31.82     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   27.26   34.44  2244.62  1393.80    58.97     0.03    0.41   0.26   1.59
dm-5              0.00     0.00    0.89    0.04     7.12     0.34     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.40     2.31    19.22     8.88     0.01    2.61   0.24   0.06
dm-9              0.00     0.00   27.13   32.04  2241.44  1374.58    61.12     0.02    0.33   0.26   1.55
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:10:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   27.83   29.19  2236.82  1384.65    63.51     0.02    0.30   0.27   1.56
dm-0              0.02     5.08   27.44   29.19  2233.60  1384.65    63.90     0.02    0.31   0.29   1.62
dm-3              0.00     0.00    0.19    0.00     5.88     0.00    31.77     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   27.01   34.27  2225.58  1384.65    58.92     0.03    0.42   0.26   1.58
dm-5              0.00     0.00    0.88    0.04     7.05     0.34     8.00     0.00    0.69   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.09     0.00     8.00     0.00    0.07   0.07   0.00
